model,transformation,localization_metric,faithfulness_method,n,rho,p_raw,p_bh
efficientnet_b0,resize_sev1,IoU,blur,12,-0.612960659796053,0.03406733166335623,0.10088743911251548
efficientnet_b0,resize_sev1,saliency_mass,blur,12,-0.5148869542286845,0.0867182974439261,0.12987539688158992
efficientnet_b0,resize_sev2,SO,blur,12,-0.5814369687208275,0.04737359617187987,0.08385512728398103
efficientnet_b0,resize_sev2,IoU,blur,12,-0.5814369687208275,0.04737359617187987,0.10088743911251548
efficientnet_b0,resize_sev2,saliency_mass,blur,12,-0.3712790282193235,0.23473669062919858,0.25429808151496514
efficientnet_b0,resize_sev3,SO,blur,12,-0.3426573426573427,0.2755674509567803,0.3256706238580131
efficientnet_b0,resize_sev3,IoU,blur,12,-0.31468531468531474,0.31913878550330455,0.3771640192311781
efficientnet_b0,resize_sev3,saliency_mass,blur,12,-0.39860139860139865,0.19933549461780897,0.23557831182104697
resnet50,brightening_sev1,SO,blur,12,-0.4265734265734266,0.16669998762494498,0.5671867764226931
resnet50,brightening_sev1,IoU,blur,12,-0.35664335664335667,0.2551377517589572,0.807743604395767
resnet50,brightening_sev1,saliency_mass,blur,12,-0.4265734265734266,0.16669998762494498,0.4334199678248569
resnet50,brightening_sev2,SO,blur,12,-0.6153846153846154,0.033169901090105904,0.21560435708568837
resnet50,brightening_sev2,IoU,blur,12,-0.5104895104895105,0.08991373630263919,0.5844392859671547
resnet50,brightening_sev2,saliency_mass,blur,12,-0.5664335664335665,0.054842119775407906,0.3564737785401514
resnet50,brightening_sev3,SO,blur,12,-0.2797202797202798,0.37856866966230307,0.6357256363929297
resnet50,brightening_sev3,IoU,blur,12,-0.22377622377622378,0.4844516614553987,0.807743604395767
resnet50,brightening_sev3,saliency_mass,blur,12,-0.2797202797202798,0.37856866966230307,0.6986180256784367
resnet50,clean,SO,blur,12,-0.18881118881118883,0.5567370561768314,0.6357256363929297
resnet50,clean,IoU,blur,12,-0.11188811188811189,0.729194990751066,0.807743604395767
resnet50,clean,saliency_mass,blur,12,-0.15384615384615385,0.6330906812462617,0.7481980778364911
resnet50,darkening_sev1,SO,blur,12,-0.2517482517482518,0.4299187850328841,0.6357256363929297
resnet50,darkening_sev1,IoU,blur,12,-0.22377622377622378,0.4844516614553987,0.807743604395767
resnet50,darkening_sev1,saliency_mass,blur,12,-0.2517482517482518,0.4299187850328841,0.6986180256784367
resnet50,darkening_sev2,SO,blur,12,-0.25874125874125875,0.41677476889913817,0.6357256363929297
resnet50,darkening_sev2,IoU,blur,12,-0.10489510489510491,0.7456094809807079,0.807743604395767
resnet50,darkening_sev2,saliency_mass,blur,12,-0.2517482517482518,0.4299187850328841,0.6986180256784367
resnet50,darkening_sev3,SO,blur,12,-0.32867132867132864,0.2969041156887641,0.6357256363929297
resnet50,darkening_sev3,IoU,blur,12,-0.1958041958041958,0.5419358857313173,0.807743604395767
resnet50,darkening_sev3,saliency_mass,blur,12,-0.4895104895104896,0.10625237175934595,0.4334199678248569
resnet50,jpeg_sev1,SO,blur,12,-0.14685314685314685,0.6487957097846665,0.6487957097846665
resnet50,jpeg_sev1,IoU,blur,12,-0.06993006993006995,0.8290236405313092,0.8290236405313092
resnet50,jpeg_sev1,saliency_mass,blur,12,-0.11188811188811189,0.729194990751066,0.7787253962454419
resnet50,jpeg_sev2,SO,blur,12,-0.41958041958041964,0.1745190081300594,0.5671867764226931
resnet50,jpeg_sev2,IoU,blur,12,-0.4055944055944056,0.19083587400450036,0.807743604395767
resnet50,jpeg_sev2,saliency_mass,blur,12,-0.44055944055944063,0.1517350357167303,0.4334199678248569
