n_total,n_valid,n_nonzero,mean_clean,mean_transformed,mean_diff,median_diff,w_stat,raw_p,r_rb,ci_lower,ci_upper,test_status,model,seed,transformation,metric,test_family,inference_unit,rho,adjusted_p
,12,,,,,,,0.45680085263992326,,,,tested,resnet50,123,brightening_sev2,SM_vs_zero,family_4a_loc_faith,source_video,0.2377622377622378,0.9827917689028476
,12,,,,,,,0.8969858708195542,,,,tested,resnet50,123,brightening_sev2,SM_vs_mean,family_4a_loc_faith,source_video,0.04195804195804196,0.9827917689028476
,12,,,,,,,6.9931649532105415e-06,,,,tested,resnet50,123,brightening_sev2,Dprob_vs_DSO,family_4b_det_exp_deg,source_video,0.9370629370629372,7.02133675719581e-05
,12,,,,,,,1.1702227928659685e-05,,,,tested,resnet50,123,brightening_sev2,Dprob_vs_DIoU,family_4b_det_exp_deg,source_video,0.9300699300699302,7.02133675719581e-05
,0,,,,,,,,,,,not_tested_small_n,resnet50,123,brightening_sev2,Dprob_vs_Dstability,family_4b_det_exp_deg,source_video,,
12.0,12,12.0,0.25842921463769697,0.18691695910170525,0.07151225553599173,0.012290070431034986,21.0,0.17626953125,0.46153846153846156,0.013606070437923697,0.13689981852041427,tested,resnet50,123,brightening_sev3,SO,family_1_localization,source_video,,0.264404296875
12.0,12,12.0,0.15568354182609964,0.11042044661781615,0.04526309520828345,0.00942892334588196,19.0,0.12939453125,0.5128205128205128,0.00999488358917466,0.08409950638477419,tested,resnet50,123,brightening_sev3,IoU,family_1_localization,source_video,,0.20703125
12.0,12,12.0,0.25823693564992867,0.19395804731311309,0.0642788883368156,0.008820259825832094,22.0,0.20361328125,0.4358974358974359,0.007422474303864073,0.12720999960788804,tested,resnet50,123,brightening_sev3,saliency_mass,family_1_localization,source_video,,0.2961647727272727
12.0,12,12.0,0.3322296666895133,0.2365033767789264,0.09572628991058689,0.00923609066823669,16.5,0.08056640625,0.5769230769230769,0.009361142958957593,0.2007386752366745,tested,resnet50,123,brightening_sev3,hit_rate,family_1_localization,source_video,,0.14873798076923078
12.0,12,12.0,0.04598088259290489,-0.018719420339980312,0.0647003029328852,0.03889667741481463,21.0,0.17626953125,0.46153846153846156,0.000394477952320519,0.13958200525360698,tested,resnet50,123,brightening_sev3,faithfulness_blur,family_2_faithfulness,source_video,,0.22663225446428573
12.0,12,12.0,0.6548642437097679,0.4567471412641697,0.19811710244559824,0.13106214577916742,9.0,0.01611328125,0.7692307692307693,0.07062697174031536,0.32399056878442134,tested,resnet50,123,brightening_sev3,faithfulness_zero,family_2_faithfulness,source_video,,0.0322265625
12.0,12,12.0,0.5330614808352593,0.5357677598048016,-0.0027062789695424575,-0.09750251676500743,38.0,0.9697265625,0.02564102564102564,-0.141864543791036,0.13843772733198828,tested,resnet50,123,brightening_sev3,faithfulness_mean,family_2_faithfulness,source_video,,0.9697265625
12.0,0,0.0,,,,,,,,,,not_tested_small_n,resnet50,123,brightening_sev3,ES_cos,family_3_stability,source_video,,
12.0,0,0.0,,,,,,,,,,not_tested_small_n,resnet50,123,brightening_sev3,explanation_IoU,family_3_stability,source_video,,
,12,,,,,,,0.5567370561768314,,,,tested,resnet50,123,brightening_sev3,SO_vs_blur,family_4a_loc_faith,source_video,-0.18881118881118883,0.9827917689028476
,12,,,,,,,0.5717012385276553,,,,tested,resnet50,123,brightening_sev3,SO_vs_zero,family_4a_loc_faith,source_video,0.18181818181818185,0.9827917689028476
,12,,,,,,,0.9484022252365222,,,,tested,resnet50,123,brightening_sev3,SO_vs_mean,family_4a_loc_faith,source_video,-0.02097902097902098,0.9827917689028476
,12,,,,,,,0.729194990751066,,,,tested,resnet50,123,brightening_sev3,IoU_vs_blur,family_4a_loc_faith,source_video,-0.11188811188811189,0.9827917689028476
,12,,,,,,,0.4844516614553987,,,,tested,resnet50,123,brightening_sev3,IoU_vs_zero,family_4a_loc_faith,source_video,0.22377622377622378,0.9827917689028476
,12,,,,,,,0.9827917689028476,,,,tested,resnet50,123,brightening_sev3,IoU_vs_mean,family_4a_loc_faith,source_video,0.006993006993006993,0.9827917689028476
,12,,,,,,,0.6330906812462617,,,,tested,resnet50,123,brightening_sev3,SM_vs_blur,family_4a_loc_faith,source_video,-0.15384615384615385,0.9827917689028476
