n_total,n_valid,n_nonzero,mean_clean,mean_transformed,mean_diff,median_diff,w_stat,raw_p,r_rb,ci_lower,ci_upper,test_status,model,seed,transformation,metric,test_family,rho,adjusted_p
48.0,48,48.0,0.2582369356499287,0.24449659272102098,0.013740342928907691,0.0028208427768417754,77.0,1.5944809164154919e-07,0.8690476190476191,0.0076063719640982325,0.02046887499326263,tested,resnet50,123,jpeg_sev1,saliency_mass,family_1_localization,,5.102338932529574e-07
48.0,48,34.0,0.3322296666895133,0.31636254197651464,0.01586712471299866,0.0,148.0,0.010567747093818318,0.5025210084033613,0.005044801367497967,0.02888053611626057,tested,resnet50,123,jpeg_sev1,hit_rate,family_1_localization,,0.01585162064072748
48.0,48,48.0,0.04523507636731117,0.0005961094774114755,0.04463896688989969,0.02464816010422576,31.0,1.0989810242333203e-08,0.9472789115646258,0.02963666106832237,0.060933056459859664,tested,resnet50,123,jpeg_sev1,faithfulness_blur,family_2_faithfulness,,4.9454146090499416e-08
48.0,48,48.0,0.6445422700201063,0.5659479742984846,0.07859429572162158,0.01779609896228035,33.0,1.2396635545736014e-08,0.9438775510204082,0.050685024849120776,0.10796651876675153,tested,resnet50,123,jpeg_sev1,faithfulness_zero,family_2_faithfulness,,4.9586542182944054e-08
48.0,48,48.0,0.5169412794817214,0.4587221622236826,0.058219117258038834,0.017911188675497486,128.0,2.3642455849683212e-06,0.782312925170068,0.03301944189617498,0.08628218371210795,tested,resnet50,123,jpeg_sev1,faithfulness_mean,family_2_faithfulness,,5.674189403923971e-06
48.0,48,48.0,0.25842921463769697,0.1590917385996908,0.09933747603800624,0.10752208704353929,43.0,2.2702042715716474e-08,0.9268707482993197,0.0765929183659922,0.12205440780086653,tested,resnet50,123,jpeg_sev2,SO,family_1_localization,,1.3621225629429885e-07
48.0,48,48.0,0.15568354182609964,0.09053867579759879,0.06514486602850084,0.069807936352355,43.0,2.2702042715716474e-08,0.9268707482993197,0.04998386609360897,0.08097068463303994,tested,resnet50,123,jpeg_sev2,IoU,family_1_localization,,1.3621225629429885e-07
48.0,48,48.0,0.2582369356499287,0.16257839658337592,0.09565853906655279,0.08597351119327035,52.0,3.847221213147432e-08,0.9115646258503401,0.07162684688591196,0.11886478237558083,tested,resnet50,123,jpeg_sev2,saliency_mass,family_1_localization,,1.5388884852589728e-07
48.0,48,38.0,0.3322296666895133,0.20024292193312032,0.13198674475639302,0.1344049247606019,30.0,7.876034921922653e-07,0.9190283400809717,0.09613806014773697,0.16672193034458116,tested,resnet50,123,jpeg_sev2,hit_rate,family_1_localization,,2.1002759791793743e-06
48.0,48,48.0,0.04523507636731117,-0.10666312345113559,0.15189819981844674,0.13304075156051426,92.0,3.602364217710786e-07,0.8435374149659864,0.10883445109703828,0.19846714770825305,tested,resnet50,123,jpeg_sev2,faithfulness_blur,family_2_faithfulness,,9.975777833660637e-07
