transformation,severity,direction,parameter_name,parameter_value,model,seed,overall_mean_delta_p,overall_median_delta_p,overall_mean_abs_delta_p,real_mean_delta_p,real_median_delta_p,fake_mean_delta_p,fake_median_delta_p
brightness_dark,2,darker,factor,0.6,xception,123,0.031347040928004916,0.002508115890664329,0.04195584467567267,0.06352866954820828,0.018214989453306456,-0.0008345876921984537,-0.0006864661354601398
brightness_dark,2,darker,factor,0.6,xception,2024,0.08347921980306498,0.02856764471187294,0.0841460628667765,0.14186556554622767,0.10632504240764666,0.025092874059902282,0.009435183174274386
brightness_dark,3,darker,factor,0.4,efficientnet_b0,42,0.19357712868537078,0.0315599637008873,0.24335058108050914,0.320734916566269,0.1212088609469532,0.06641934080447254,0.013865995405121512
brightness_dark,3,darker,factor,0.4,efficientnet_b0,123,0.016015134577745907,0.0049550839728995,0.10104720048381682,0.0577022004843186,0.037907696596735804,-0.025671931328826794,0.0013105241875899232
brightness_dark,3,darker,factor,0.4,efficientnet_b0,2024,0.05041673944381712,0.0016820475791673934,0.16197186709798495,0.19096455026251766,0.035343396401577715,-0.09013107137488342,-0.0008533197666117931
brightness_dark,3,darker,factor,0.4,resnet50,42,0.061265225799665236,0.01575172349462345,0.16612187677961787,0.1813129473607782,0.10979093918930904,-0.0587824957614477,-0.010964386985632235
brightness_dark,3,darker,factor,0.4,resnet50,123,-0.22177908254911752,-0.24463930798009098,0.2821156507968205,-0.023356494477034657,0.0352457140528852,-0.42020167062120045,-0.4033201218935169
brightness_dark,3,darker,factor,0.4,resnet50,2024,-0.20999105228644424,-0.1647383060338944,0.23751693663753273,0.00424658170084092,0.0015937910075968485,-0.4242286862737294,-0.3547533977771571
brightness_dark,3,darker,factor,0.4,xception,42,0.34470648067683185,0.19162603822553564,0.34470648067683185,0.5295040051072301,0.549710970024488,0.15990895624643361,0.06717811397941442
brightness_dark,3,darker,factor,0.4,xception,123,0.1136012810135346,0.03117816331953205,0.12181001211736427,0.21490986421125532,0.12879306390900092,0.012292697815813899,0.005758750097673071
